fecha_diagnostico,Confirmado
2020-03-03,1.0
2020-03-06,6.0
2020-03-07,1.0
2020-03-08,2.0
2020-03-09,6.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,10.0
2020-03-13,6.0
2020-03-14,7.0
2020-03-15,11.0
2020-03-16,10.0
2020-03-17,18.0
2020-03-18,29.0
2020-03-19,22.0
2020-03-20,30.0
2020-03-21,62.0
2020-03-22,54.0
2020-03-23,31.0
2020-03-24,106.0
2020-03-25,114.0
2020-03-26,110.0
2020-03-27,81.0
2020-03-28,68.0
2020-03-29,111.0
2020-03-30,84.0
2020-03-31,90.0
2020-04-01,119.0
2020-04-02,142.0
2020-04-03,102.0
2020-04-04,101.0
2020-04-05,71.0
2020-04-06,104.0
2020-04-07,75.0
2020-04-08,101.0
2020-04-09,96.0
2020-04-10,129.0
2020-04-11,70.0
2020-04-12,67.0
2020-04-13,92.0
2020-04-14,125.0
2020-04-15,128.0
2020-04-16,104.0
2020-04-17,87.0
2020-04-18,122.0
2020-04-19,60.0
2020-04-20,94.0
2020-04-21,160.0
2020-04-22,117.0
2020-04-23,137.0
2020-04-24,185.0
2020-04-25,166.0
2020-04-26,87.0
2020-04-27,126.0
2020-04-28,124.0
2020-04-29,147.0
2020-04-30,135.0
2020-05-01,140.0
2020-05-02,102.0
2020-05-03,103.0
2020-05-04,119.0
2020-05-05,182.0
2020-05-06,198.0
2020-05-07,236.0
2020-05-08,202.0
2020-05-09,250.0
2020-05-10,199.0
2020-05-11,263.0
2020-05-12,288.0
2020-05-13,324.0
2020-05-14,304.0
2020-05-15,394.0
2020-05-16,339.0
2020-05-17,240.0
2020-05-18,389.0
2020-05-19,528.0
2020-05-20,612.0
2020-05-21,746.0
2020-05-22,808.0
2020-05-23,611.0
2020-05-24,503.0
2020-05-25,548.0
2020-05-26,649.0
2020-05-27,714.0
2020-05-28,765.0
2020-05-29,839.0
2020-05-30,690.0
2020-05-31,541.0
2020-06-01,841.0
2020-06-02,922.0
2020-06-03,931.0
2020-06-04,878.0
2020-06-05,965.0
2020-06-06,1098.0
2020-06-07,573.0
2020-06-08,1031.0
2020-06-09,1362.0
2020-06-10,1342.0
2020-06-11,1538.0
2020-06-12,1626.0
2020-06-13,1494.0
2020-06-14,1045.0
2020-06-15,1285.0
2020-06-16,1655.0
2020-06-17,1922.0
2020-06-18,2052.0
2020-06-19,2088.0
2020-06-20,2395.0
2020-06-21,1458.0
2020-06-22,2229.0
2020-06-23,2622.0
2020-06-24,2509.0
2020-06-25,2942.0
2020-06-26,3020.0
2020-06-27,2325.0
2020-06-28,1794.0
2020-06-29,2266.0
2020-06-30,2803.0
2020-07-01,2790.0
2020-07-02,2863.0
2020-07-03,3369.0
2020-07-04,3289.0
2020-07-05,1951.0
2020-07-06,2929.0
2020-07-07,3422.0
2020-07-08,4116.0
2020-07-09,3612.0
2020-07-10,3568.0
2020-07-11,3275.0
2020-07-12,2139.0
2020-07-13,3561.0
2020-07-14,4151.0
2020-07-15,4172.0
2020-07-16,4525.0
2020-07-17,4974.0
2020-07-18,4459.0
2020-07-19,3049.0
2020-07-20,4727.0
2020-07-21,5667.0
2020-07-22,5828.0
2020-07-23,5734.0
2020-07-24,6114.0
2020-07-25,4688.0
2020-07-26,3354.0
2020-07-27,5172.0
2020-07-28,5880.0
2020-07-29,6207.0
2020-07-30,5941.0
2020-07-31,6861.0
2020-08-01,5083.0
2020-08-02,4303.0
2020-08-03,6037.0
2020-08-04,6730.0
2020-08-05,7350.0
2020-08-06,7148.0
2020-08-07,7137.0
2020-08-08,5508.0
2020-08-09,3599.0
2020-08-10,4875.0
2020-08-11,1865.0
